Curso;Período que está cursando;Qual o seu nível de conhecimento em programação?
Engenharia da computação;7º período;Intermediário
Engenharia da computação;7º período;Intermediário
Engenharia da computação;3º período;Iniciante
Engenharia da computação;1º período;Intermediário
Engenharia da computação;1º período;Iniciante
Engenharia da computação;1º período;Iniciante
Engenharia da computação;1º período;Iniciante
Engenharia da computação;5º período;Intermediário
Engenharia da computação;3º período;Intermediário
Engenharia da computação;7º período;Iniciante
Engenharia da computação;7º período;Iniciante
Engenharia da computação;5º período;Intermediário
Engenharia da computação;1º período;Iniciante
Engenharia da computação;3º período;Intermediário
Engenharia da computação;5º período;Iniciante
Engenharia da computação;1º período;Iniciante
Engenharia da computação;1º período;Iniciante
Engenharia elétrica;1º período;Iniciante
Engenharia da computação;3º período;Iniciante
Engenharia da computação;4º período;Intermediário
Engenharia da computação;1º período;Intermediário
Engenharia da computação;4º período;Iniciante
Engenharia da computação;3º período;Iniciante
Análise e desenvolvimento de sistemas ;2º período;Intermediário
Engenharia da computação;3º período;Intermediário
Sistemas de informação;1º período;Iniciante
Engenharia da computação;1º período;Iniciante
Engenharia da computação;3º período;Iniciante
Sistemas de informação;5º período;Iniciante
Engenharia da computação;1º período;Iniciante
Engenharia da computação;5º período;Iniciante
Sistemas de informação;1º período;Iniciante
Engenharia da computação;3º período;Intermediário
Sistemas de informação;1º período;Iniciante
Engenharia da computação;3º período;Iniciante
Sistemas de informação;1º período;Iniciante
Engenharia mecânica ;2º período;Iniciante
Engenharia da computação;1º período;Iniciante
Sistemas de informação;7º período;Intermediário
Sistemas de informação;1º período;Iniciante
Sistemas de informação;8º período;Intermediário
Engenharia Mecânica;1º período;Iniciante
Sistemas de informação;1º período;Iniciante
Engenharia da computação;3º período;Iniciante
Análise e desenvolvimento de sistemas ;1º período;Iniciante
Engenharia da computação;6º período;Intermediário
Sistemas de informação;3º período;Iniciante
Sistemas de informação;1º período;Intermediário
Sistemas de informação;3º período;Intermediário
Sistemas de informação;3º período;Iniciante
Engenharia da computação;5º período;Iniciante
Engenharia da computação;6º período;Intermediário
Engenharia elétrica;1º período;Iniciante
Sistemas de informação;1º período;Iniciante
Geologia ;7º período;Iniciante
Engenharia da computação;7º período;Intermediário
Engenharia da computação;7º período;Intermediário
sem curso;1º período;Iniciante
Sistemas de informação;1º período;Iniciante
Sistemas de informação;1º período;Iniciante
Sistemas de informação;1º período;Iniciante
Sistemas de informação;1º período;Iniciante
Sistemas de informação;2º período;Iniciante
Sistemas de informação;5º período;Intermediário
Sistemas de informação;5º período;Iniciante
Engenharia da computação;1º período;Iniciante
Sistemas de informação;7º período;Intermediário
Sistemas de informação;7º período;Intermediário
Engenharia elétrica;1º período;Iniciante
Engenharia da computação;1º período;Iniciante
Sistemas de informação;1º período;Iniciante
Engenharia da computação;3º período;Intermediário
Engenharia da computação;5º período;Iniciante
Sistemas de informação;1º período;Iniciante
Engenharia da computação;3º período;Iniciante
Engenharia mecânica ;1º período;Iniciante
Engenharia da computação;10º período;Intermediário
Engenharia da computação;5º período;Iniciante
Engenharia mecânica ;1º período;Iniciante
Sistemas de informação;7º período;Intermediário
Engenharia mecânica ;1º período;Iniciante
Engenharia da computação;10º período;Avançado
Sistemas de informação;1º período;Iniciante
Sistemas de informação;1º período;Iniciante
Engenharia da computação;7º período;Intermediário
Engenharia da computação;1º período;Iniciante
Engenharia da computação;1º período;Iniciante
Engenharia da computação;1º período;Iniciante
Engenharia da computação;3º período;Intermediário
Sistemas de informação;3º período;Intermediário
Sistemas de informação;3º período;Iniciante
Sistemas de informação;1º período;Iniciante
Engenharia de Software ;1º período;Iniciante
Sistemas de informação;3º período;Iniciante
Sistemas de informação;3º período;Iniciante
Sistemas de informação;3º período;Intermediário
Análise e desenvolvimento de sistemas ;1º período;Iniciante
Engenharia elétrica;1º período;Iniciante
Engenharia da computação;3º período;Intermediário
Engenharia da computação;3º período;Iniciante
Engenharia da computação;3º período;Iniciante
Engenharia da computação;9º período;Avançado
Engenharia elétrica;3º período;Iniciante
Análise e desenvolvimento de sistemas ;1º período;Iniciante
Engenharia da computação;1º período;Iniciante
Engenharia da computação;3º período;Iniciante
Engenharia da computação;1º período;Iniciante
Sistemas de informação;2º período;Iniciante
Engenharia elétrica;1º período;Iniciante
Engenharia química ;1º período;Iniciante
Engenharia mecânica ;3º período;Iniciante
Engenharia da computação;5º período;Iniciante
Engenharia da computação;5º período;Iniciante
Engenharia da computação;5º período;Iniciante
Engenharia da computação;5º período;Intermediário
Engenharia mecânica ;9º período;Iniciante
Engenharia mecânica ;9º período;Iniciante
Engenharia elétrica;3º período;Iniciante
Engenharia mecânica ;1º período;Iniciante
Engenharia de Software ;3º período;Intermediário
Sistemas de informação;3º período;Iniciante
Sistemas de informação;1º período;Iniciante
Engenharia da computação;3º período;Iniciante
Engenharia da computação;6º período;Iniciante
Engenharia da computação;7º período;Iniciante
Engenharia da computação;1º período;Intermediário
Engenharia da computação;6º período;Intermediário
Engenharia da computação;3º período;Iniciante
Engenharia da computação;1º período;Iniciante
Sistemas de informação;3º período;Iniciante
Sistemas de informação;1º período;Iniciante
Engenharia da computação;1º período;Iniciante
Engenharia da computação;3º período;Iniciante
Sistemas de informação;1º período;Iniciante
Engenharia Civil;1º período;Iniciante
Engenharia da computação;1º período;Iniciante
Engenharia da computação;1º período;Iniciante
Engenharia da computação;1º período;Iniciante
Engenharia da computação;1º período;Iniciante
Engenharia da computação;1º período;Iniciante
Engenharia da computação;2º período;Iniciante
Sistemas de informação;1º período;Iniciante
Engenharia da computação;1º período;Iniciante
